Source	Target	Weight
Accompanist pianist__s	music production__t	833
Operations__s	microsoft excel__t	28122
Shop Assistant (Intern)__s	microsoft office__t	38175
HR BUSINESS PARTNER__s	outsourcing__t	856
Process engineering__s	powerpoint__t	19346
Research Associate__s	medicine__t	654
Senior Manager__s	it security policies__t	6
Project Manager__s	formation__t	3702
Solutions Architect__s	microsoft sql server__t	1122
Quality manager__s	iso 9001__t	26
Styliste__s	microsoft word__t	23651
Master Thesis Student__s	microsoft word__t	23651
Technical Leader__s	semiconductor industry__t	190
manager__s	new media__t	582
Formatrice bancaire__s	microsoft office__t	38175
General Manager__s	coaching__t	2682
RETAIL FASHION BRANDS__s	merchandising__t	1297
Facer__s	english__t	12734
Securities Market Specialist__s	microsoft word__t	23651
Offshore Construction Engineer__s	fluid mechanics__t	129
Photographer__s	film photography__t	6
CEO__s	joomla__t	112
ICT__s	formation__t	3702
Area Export Manager__s	export__t	357
Artiste__s	metallurgy__t	74
Learning consultant__s	erp__t	1026
Architect__s	php__t	2049
CONSULTANT MARKETING__s	vdi__t	32
EuroSIMA Cluster Manager__s	social media__t	7787
Researcher in econometrics__s	french__t	6129
IT Manager__s	business strategy__t	8370
COMMERCIAL__s	visual merchandising__t	424
IT manager__s	python__t	1479
THENICIEN ANIMATEUR__s	teaching__t	9386
Photographe__s	illustrator__t	2556
Senior Planner__s	microsoft office__t	38175
Professor of Rheumatology__s	leadership__t	8448
General Services Officer__s	research__t	12923
Documentary Photographer__s	photo editing__t	23
TRADE MANAGER__s	new business development__t	7467
Stress Engineer__s	hypermesh__t	21
ecrivain psychanalyste__s	editing__t	2967
CEO tassystylist__s	visual merchandising__t	424
Supply Chain Director__s	kaizen__t	295
senior scientist__s	qpcr__t	104
Software Engineer__s	data warehousing__t	247
Editor__s	programming__t	893
Network Project Manager__s	wan__t	142
PASSENGER SERVICE AGENT__s	flights__t	221
Customer Resolution Specialist__s	quickbooks__t	52
Head of Development__s	digital media__t	1035
Senior associate__s	french__t	6129
Architectural Intern__s	illustrator__t	2556
Coating Engineer__s	coatings__t	122
CATHRONI CLOTHING__s	adobe illustrator__t	1663
Co Owner__s	consumer insight__t	23
GIS specialist__s	photoshop__t	11057
Field Service Engineer__s	spectroscopy__t	231
Mediator__s	adobe illustrator__t	1663
Aerodynamical Methods' Engineer__s	cfd__t	132
Operations Regional Manager__s	gas__t	437
Boss__s	recording__t	610
Research scientist__s	clinical research__t	1252
Specialiste leasing automobile__s	sales__t	6033
Senior Solution Builder__s	uml__t	826
IT Manager__s	freight__t	268
Business Strategy Consultant__s	international relations__t	1402
researcher__s	characterization__t	246
Owner and Founder__s	storage__t	355
Head of Multimanagement__s	financial modeling__t	705
VP Engineering__s	embedded software__t	435
COMPUTER SCIENCE__s	network security__t	588
Senior Software Engineer__s	assembly language__t	60
Charter Broker__s	strategic planning__t	11444
Territory Manager FSA__s	pharmaceutical industry__t	989
I.A.V.__s	microsoft office__t	38175
