Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1
Deputy manager__s	Deputy manager	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Vocalist__s	Vocalist	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Senior Sales Account Manager__s	Senior Sales Account Manager	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
International Business Development__s	International Business Development	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
HE Demand Planner__s	HE Demand Planner	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Co-gerant__s	Co-gerant	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Rwanda project manager__s	Rwanda project manager	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Internship in Sales Representative International__s	Internship in Sales Representative International	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
CHEF DES VENTES__s	CHEF DES VENTES	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Import and export__s	Import and export	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
менеждер__s	менеждер	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
RECEPTION DE COLIS__s	RECEPTION DE COLIS	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
RESPONSABLE ADMINISTRATIF, COMPTABLE ET INFORMATIQUE__s	RESPONSABLE ADMINISTRATIF, COMPTABLE ET INFORMATIQUE	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
sales__t	sales	1.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
gestion locative__s	gestion locative	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
TECHNICIEN__s	TECHNICIEN	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
station manager__s	station manager	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
MEDECIN__s	MEDECIN	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
ATTACHEE COMMERCIALE AFFAIRES__s	ATTACHEE COMMERCIALE AFFAIRES	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
RESPONSABLE FABRICATION__s	RESPONSABLE FABRICATION	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Customer Service__s	Customer Service	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Founder of Magnidotter Design AB__s	Founder of Magnidotter Design AB	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
inventory management__t	inventory management	1.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Sales Operations Manager, Leasing Markets__s	Sales Operations Manager, Leasing Markets	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
customer service team leader__s	customer service team leader	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
