Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Community_Lvl_2	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1	Infered_Community_Name_Lvl_2
Founder and Ceo__s	Founder and Ceo	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
Sectors Manger__s	Sectors Manger	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Dealer__s	Dealer	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Legal__s	Legal	2.0	2	2.9	2.9.18	21___Science and engineering professionals	24___Business and administration professionals	24___Business and administration professionals
Mother of 5 boys and dedicated wife__s	Mother of 5 boys and dedicated wife	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Crooner An'm show event..__s	Crooner An'm show event..	2.0	4	4.4	4.4.26	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
RAF__s	RAF	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Owner at Aku Studio__s	Owner at Aku Studio	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
IM manager__s	IM manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Management Information Analyst__s	Management Information Analyst	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Fitcline__s	Fitcline	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
overseas agent__s	overseas agent	2.0	6	6.6	6.6.15	33___Business and administration associate professionals	33___Business and administration associate professionals	33___Business and administration associate professionals
SQA__s	SQA	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Acoount Manager__s	Acoount Manager	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Director Comercial__s	Director Comercial	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
